month,year,networth,gross_income,after_tax_income,portfolio_value,portfolio_gain,home_equity,home_valuation,cost_mortgage,monthly_property_tax,monthly_maintenance,home_insurance,hoa_fees,non_housing_cost
0,0,300000.0,29166.67,19833.33,100000.0,0,200000.0,1000000.0,5367.09,708.33,416.67,0.0,550.0,6083.33
1,0,308073.73,29166.67,19833.33,107428.64,720.73,200645.09,1000000.0,5367.09,708.33,416.67,0.0,550.0,6083.33
2,0,316204.81,29166.67,19833.33,114910.83,774.27,201293.98,1000000.0,5367.09,708.33,416.67,0.0,550.0,6083.33
3,0,324393.65,29166.67,19833.33,122446.94,828.2,201946.71,1000000.0,5367.09,708.33,416.67,0.0,550.0,6083.33
4,0,332640.66,29166.67,19833.33,130037.37,882.51,202603.29,1000000.0,5367.09,708.33,416.67,0.0,550.0,6083.33
5,0,340946.24,29166.67,19833.33,137682.5,937.22,203263.74,1000000.0,5367.09,708.33,416.67,0.0,550.0,6083.33
6,0,349310.83,29166.67,19833.33,145382.73,992.32,203928.1,1000000.0,5367.09,708.33,416.67,0.0,550.0,6083.33
7,0,357734.84,29166.67,19833.33,153138.46,1047.82,204596.37,1000000.0,5367.09,708.33,416.67,0.0,550.0,6083.33
8,0,366218.68,29166.67,19833.33,160950.09,1103.72,205268.59,1000000.0,5367.09,708.33,416.67,0.0,550.0,6083.33
9,0,374762.8,29166.67,19833.33,168818.03,1160.02,205944.78,1000000.0,5367.09,708.33,416.67,0.0,550.0,6083.33
10,0,383367.62,29166.67,19833.33,176742.66,1216.73,206624.95,1000000.0,5367.09,708.33,416.67,0.0,550.0,6083.33
11,0,392033.56,29166.67,19833.33,184724.42,1273.84,207309.14,1000000.0,5367.09,708.33,416.67,0.0,550.0,6083.33
12,1,440761.07,30625.0,20825.0,192763.7,1331.37,247997.38,1040000.0,5367.09,755.08,427.08,0.0,563.75,6235.42
13,1,450319.25,30625.0,20825.0,201629.58,1389.31,248689.67,1040000.0,5367.09,755.08,427.08,0.0,563.75,6235.42
14,1,459945.42,30625.0,20825.0,210559.37,1453.21,249386.05,1040000.0,5367.09,755.08,427.08,0.0,563.75,6235.42
15,1,469640.06,30625.0,20825.0,219553.52,1517.57,250086.54,1040000.0,5367.09,755.08,427.08,0.0,563.75,6235.42
16,1,479403.65,30625.0,20825.0,228612.49,1582.39,250791.16,1040000.0,5367.09,755.08,427.08,0.0,563.75,6235.42
17,1,489236.7,30625.0,20825.0,237736.75,1647.68,251499.94,1040000.0,5367.09,755.08,427.08,0.0,563.75,6235.42
18,1,499139.69,30625.0,20825.0,246926.78,1713.45,252212.91,1040000.0,5367.09,755.08,427.08,0.0,563.75,6235.42
19,1,509113.12,30625.0,20825.0,256183.04,1779.68,252930.09,1040000.0,5367.09,755.08,427.08,0.0,563.75,6235.42
20,1,519157.5,30625.0,20825.0,265506.01,1846.39,253651.49,1040000.0,5367.09,755.08,427.08,0.0,563.75,6235.42
21,1,529273.34,30625.0,20825.0,274896.18,1913.59,254377.16,1040000.0,5367.09,755.08,427.08,0.0,563.75,6235.42
22,1,539461.13,30625.0,20825.0,284354.02,1981.27,255107.11,1040000.0,5367.09,755.08,427.08,0.0,563.75,6235.42
23,1,549721.4,30625.0,20825.0,293880.03,2049.43,255841.37,1040000.0,5367.09,755.08,427.08,0.0,563.75,6235.42
24,2,601654.66,32156.25,21866.25,303474.7,2118.09,298179.96,1081600.0,5367.09,804.92,437.76,0.0,577.84,6391.3
25,2,612872.19,32156.25,21866.25,313949.27,2187.24,298922.91,1081600.0,5367.09,804.92,437.76,0.0,577.84,6391.3
26,2,624169.59,32156.25,21866.25,324499.34,2262.73,299670.25,1081600.0,5367.09,804.92,437.76,0.0,577.84,6391.3
27,2,635547.45,32156.25,21866.25,335125.45,2338.77,300422.0,1081600.0,5367.09,804.92,437.76,0.0,577.84,6391.3
28,2,647006.33,32156.25,21866.25,345828.15,2415.36,301178.18,1081600.0,5367.09,804.92,437.76,0.0,577.84,6391.3
29,2,658546.81,32156.25,21866.25,356607.98,2492.5,301938.83,1081600.0,5367.09,804.92,437.76,0.0,577.84,6391.3
30,2,670169.47,32156.25,21866.25,367465.5,2570.19,302703.97,1081600.0,5367.09,804.92,437.76,0.0,577.84,6391.3
31,2,681874.91,32156.25,21866.25,378401.28,2648.44,303473.62,1081600.0,5367.09,804.92,437.76,0.0,577.84,6391.3
32,2,693663.7,32156.25,21866.25,389415.88,2727.26,304247.82,1081600.0,5367.09,804.92,437.76,0.0,577.84,6391.3
33,2,705536.45,32156.25,21866.25,400509.86,2806.65,305026.59,1081600.0,5367.09,804.92,437.76,0.0,577.84,6391.3
34,2,717493.75,32156.25,21866.25,411683.8,2886.6,305809.95,1081600.0,5367.09,804.92,437.76,0.0,577.84,6391.3
35,2,729536.22,32156.25,21866.25,422938.28,2967.14,306597.94,1081600.0,5367.09,804.92,437.76,0.0,577.84,6391.3
36,3,784928.45,33764.06,22959.56,434273.87,3048.25,350654.58,1124864.0,5367.09,858.04,448.7,0.0,592.29,6551.08
37,3,797998.07,33764.06,22959.56,446546.17,3129.95,351451.9,1124864.0,5367.09,858.04,448.7,0.0,592.29,6551.08
38,3,811160.84,33764.06,22959.56,458906.92,3218.4,352253.92,1124864.0,5367.09,858.04,448.7,0.0,592.29,6551.08
39,3,824417.44,33764.06,22959.56,471356.77,3307.49,353060.68,1124864.0,5367.09,858.04,448.7,0.0,592.29,6551.08
40,3,837768.54,33764.06,22959.56,483896.34,3397.22,353872.2,1124864.0,5367.09,858.04,448.7,0.0,592.29,6551.08
41,3,851214.79,33764.06,22959.56,496526.29,3487.6,354688.51,1124864.0,5367.09,858.04,448.7,0.0,592.29,6551.08
42,3,864756.9,33764.06,22959.56,509247.26,3578.63,355509.63,1124864.0,5367.09,858.04,448.7,0.0,592.29,6551.08
43,3,878395.53,33764.06,22959.56,522059.93,3670.31,356335.61,1124864.0,5367.09,858.04,448.7,0.0,592.29,6551.08
44,3,892131.39,33764.06,22959.56,534964.93,3762.65,357166.46,1124864.0,5367.09,858.04,448.7,0.0,592.29,6551.08
