month,year,networth,gross_income,after_tax_income,portfolio_value,portfolio_gain,cost_rent,cost_insurance,non_housing_cost
0,0,300000,29166.67,19833.33,300000,0,2500.0,0.0,6083.33
1,0,313412.2,29166.67,19833.33,313412.2,2162.2,2500.0,0.0,6083.33
2,0,326921.06,29166.67,19833.33,326921.06,2258.86,2500.0,0.0,6083.33
3,0,340527.29,29166.67,19833.33,340527.29,2356.23,2500.0,0.0,6083.33
4,0,354231.58,29166.67,19833.33,354231.58,2454.29,2500.0,0.0,6083.33
5,0,368034.64,29166.67,19833.33,368034.64,2553.06,2500.0,0.0,6083.33
6,0,381937.18,29166.67,19833.33,381937.18,2652.54,2500.0,0.0,6083.33
7,0,395939.93,29166.67,19833.33,395939.93,2752.74,2500.0,0.0,6083.33
8,0,410043.59,29166.67,19833.33,410043.59,2853.67,2500.0,0.0,6083.33
9,0,424248.91,29166.67,19833.33,424248.91,2955.32,2500.0,0.0,6083.33
10,0,438556.61,29166.67,19833.33,438556.61,3057.7,2500.0,0.0,6083.33
11,0,452967.43,29166.67,19833.33,452967.43,3160.82,2500.0,0.0,6083.33
12,1,467482.11,30625.0,20825.0,467482.11,3264.68,2562.5,0.0,6235.42
13,1,482878.49,30625.0,20825.0,482878.49,3369.29,2562.5,0.0,6235.42
14,1,498385.83,30625.0,20825.0,498385.83,3480.26,2562.5,0.0,6235.42
15,1,514004.95,30625.0,20825.0,514004.95,3592.03,2562.5,0.0,6235.42
16,1,529736.63,30625.0,20825.0,529736.63,3704.6,2562.5,0.0,6235.42
17,1,545581.7,30625.0,20825.0,545581.7,3817.98,2562.5,0.0,6235.42
18,1,561540.96,30625.0,20825.0,561540.96,3932.18,2562.5,0.0,6235.42
19,1,577615.25,30625.0,20825.0,577615.25,4047.21,2562.5,0.0,6235.42
20,1,593805.4,30625.0,20825.0,593805.4,4163.06,2562.5,0.0,6235.42
21,1,610112.23,30625.0,20825.0,610112.23,4279.75,2562.5,0.0,6235.42
22,1,626536.59,30625.0,20825.0,626536.59,4397.28,2562.5,0.0,6235.42
23,1,643079.32,30625.0,20825.0,643079.32,4515.65,2562.5,0.0,6235.42
24,2,659741.29,32156.25,21866.25,659741.29,4634.88,2626.56,0.0,6391.3
25,2,677344.64,32156.25,21866.25,677344.64,4754.97,2626.56,0.0,6391.3
26,2,695074.87,32156.25,21866.25,695074.87,4881.84,2626.56,0.0,6391.3
27,2,712932.88,32156.25,21866.25,712932.88,5009.63,2626.56,0.0,6391.3
28,2,730919.6,32156.25,21866.25,730919.6,5138.34,2626.56,0.0,6391.3
29,2,749035.96,32156.25,21866.25,749035.96,5267.97,2626.56,0.0,6391.3
30,2,767282.89,32156.25,21866.25,767282.89,5398.54,2626.56,0.0,6391.3
31,2,785661.34,32156.25,21866.25,785661.34,5530.06,2626.56,0.0,6391.3
32,2,804172.24,32156.25,21866.25,804172.24,5662.52,2626.56,0.0,6391.3
33,2,822816.55,32156.25,21866.25,822816.55,5795.93,2626.56,0.0,6391.3
34,2,841595.24,32156.25,21866.25,841595.24,5930.3,2626.56,0.0,6391.3
35,2,860509.28,32156.25,21866.25,860509.28,6065.65,2626.56,0.0,6391.3
36,3,879559.63,33764.06,22959.56,879559.63,6201.97,2692.23,0.0,6551.08
37,3,899615.15,33764.06,22959.56,899615.15,6339.27,2692.23,0.0,6551.08
38,3,919815.22,33764.06,22959.56,919815.22,6483.82,2692.23,0.0,6551.08
39,3,940160.88,33764.06,22959.56,940160.88,6629.41,2692.23,0.0,6551.08
40,3,960653.17,33764.06,22959.56,960653.17,6776.04,2692.23,0.0,6551.08
41,3,981293.16,33764.06,22959.56,981293.16,6923.74,2692.23,0.0,6551.08
42,3,1002081.91,33764.06,22959.56,1002081.91,7072.5,2692.23,0.0,6551.08
43,3,1023020.49,33764.06,22959.56,1023020.49,7222.33,2692.23,0.0,6551.08
44,3,1044109.98,33764.06,22959.56,1044109.98,7373.24,2692.23,0.0,6551.08
45,3,1065351.47,33764.06,22959.56,1065351.47,7525.24,2692.23,0.0,6551.08
46,3,1086746.05,33764.06,22959.56,1086746.05,7678.33,2692.23,0.0,6551.08
47,3,1108294.83,33764.06,22959.56,1108294.83,7832.53,2692.23,0.0,6551.08
48,4,1129998.92,35452.27,24107.54,1129998.92,7987.84,2759.53,0.0,6714.86
49,4,1152776.34,35452.27,24107.54,1152776.34,8144.27,2759.53,0.0,6714.86
50,4,1175717.92,35452.27,24107.54,1175717.92,8308.43,2759.53,0.0,6714.86
51,4,1198824.84,35452.27,24107.54,1198824.84,8473.78,2759.53,0.0,6714.86
52,4,1222098.31,35452.27,24107.54,1222098.31,8640.32,2759.53,0.0,6714.86
53,4,1245539.51,35452.27,24107.54,1245539.51,8808.06,2759.53,0.0,6714.86
54,4,1269149.67,35452.27,24107.54,1269149.67,8977.01,2759.53,0.0,6714.86
55,4,1292929.98,35452.27,24107.54,1292929.98,9147.17,2759.53,0.0,6714.86
56,4,1316881.69,35452.27,24107.54,1316881.69,9318.56,2759.53,0.0,6714.86
57,4,1341006.03,35452.27,24107.54,1341006.03,9491.19,2759.53,0.0,6714.86
58,4,1365304.24,35452.27,24107.54,1365304.24,9665.06,2759.53,0.0,6714.86
59,4,1389777.58,35452.27,24107.54,1389777.58,9840.19,2759.53,0.0,6714.86
60,5,1414427.3,37224.88,25312.92,1414427.3,10016.58,2828.52,0.0,6882.73
61,5,1440223.2,37224.88,25312.92,1440223.2,10194.23,2828.52,0.0,6882.73
62,5,1466205.02,37224.88,25312.92,1466205.02,10380.15,2828.52,0.0,6882.73
63,5,1492374.1,37224.88,25312.92,1492374.1,10567.41,2828.52,0.0,6882.73
64,5,1518731.78,37224.88,25312.92,1518731.78,10756.02,2828.52,0.0,6882.73
65,5,1545279.44,37224.88,25312.92,1545279.44,10945.99,2828.52,0.0,6882.73
66,5,1572018.43,37224.88,25312.92,1572018.43,11137.33,2828.52,0.0,6882.73
67,5,1598950.14,37224.88,25312.92,1598950.14,11330.05,2828.52,0.0,6882.73
68,5,1626075.95,37224.88,25312.92,1626075.95,11524.15,2828.52,0.0,6882.73
69,5,1653397.27,37224.88,25312.92,1653397.27,11719.66,2828.52,0.0,6882.73
70,5,1680915.51,37224.88,25312.92,1680915.51,11916.57,2828.52,0.0,6882.73
71,5,1708632.07,37224.88,25312.92,1708632.07,12114.9,2828.52,0.0,6882.73
72,6,1736548.4,39086.12,26578.56,1736548.4,12314.66,2899.23,0.0,7054.8
73,6,1765688.79,39086.12,26578.56,1765688.79,12515.87,2899.23,0.0,7054.8
74,6,1795039.21,39086.12,26578.56,1795039.21,12725.89,2899.23,0.0,7054.8
75,6,1824601.17,39086.12,26578.56,1824601.17,12937.43,2899.23,0.0,7054.8
76,6,1854376.19,39086.12,26578.56,1854376.19,13150.49,2899.23,0.0,7054.8
77,6,1884365.8,39086.12,26578.56,1884365.8,13365.09,2899.23,0.0,7054.8
78,6,1914571.57,39086.12,26578.56,1914571.57,13581.23,2899.23,0.0,7054.8
79,6,1944995.03,39086.12,26578.56,1944995.03,13798.94,2899.23,0.0,7054.8
80,6,1975637.77,39086.12,26578.56,1975637.77,14018.21,2899.23,0.0,7054.8
81,6,2006501.36,39086.12,26578.56,2006501.36,14239.06,2899.23,0.0,7054.8
82,6,2037587.39,39086.12,26578.56,2037587.39,14461.5,2899.23,0.0,7054.8
83,6,2068897.47,39086.12,26578.56,2068897.47,14685.55,2899.23,0.0,7054.8
84,7,2100433.21,41040.43,27907.49,2100433.21,14911.21,2971.71,0.0,7231.17
85,7,2133276.32,41040.43,27907.49,2133276.32,15138.5,2971.71,0.0,7231.17
86,7,2166356.13,41040.43,27907.49,2166356.13,15375.21,2971.71,0.0,7231.17
87,7,2199674.37,41040.43,27907.49,2199674.37,15613.63,2971.71,0.0,7231.17
88,7,2233232.74,41040.43,27907.49,2233232.74,15853.76,2971.71,0.0,7231.17
89,7,2267032.97,41040.43,27907.49,2267032.97,16095.63,2971.71,0.0,7231.17
90,7,2301076.82,41040.43,27907.49,2301076.82,16339.24,2971.71,0.0,7231.17
91,7,2335366.03,41040.43,27907.49,2335366.03,16584.6,2971.71,0.0,7231.17
92,7,2369902.37,41040.43,27907.49,2369902.37,16831.74,2971.71,0.0,7231.17
93,7,2404687.63,41040.43,27907.49,2404687.63,17080.65,2971.71,0.0,7231.17
94,7,2439723.6,41040.43,27907.49,2439723.6,17331.36,2971.71,0.0,7231.17
95,7,2475012.08,41040.43,27907.49,2475012.08,17583.88,2971.71,0.0,7231.17
96,8,2510554.9,43092.45,29302.87,2510554.9,17838.21,3046.01,0.0,7411.95
97,8,2547494.19,43092.45,29302.87,2547494.19,18094.38,3046.01,0.0,7411.95
98,8,2584699.71,43092.45,29302.87,2584699.71,18360.61,3046.01,0.0,7411.95
99,8,2622173.38,43092.45,29302.87,2622173.38,18628.77,3046.01,0.0,7411.95
100,8,2659917.14,43092.45,29302.87,2659917.14,18898.85,3046.01,0.0,7411.95
101,8,2697932.93,43092.45,29302.87,2697932.93,19170.88,3046.01,0.0,7411.95
102,8,2736222.72,43092.45,29302.87,2736222.72,19444.87,3046.01,0.0,7411.95
103,8,2774788.47,43092.45,29302.87,2774788.47,19720.84,3046.01,0.0,7411.95
104,8,2813632.17,43092.45,29302.87,2813632.17,19998.8,3046.01,0.0,7411.95
105,8,2852755.84,43092.45,29302.87,2852755.84,20278.76,3046.01,0.0,7411.95
106,8,2892161.48,43092.45,29302.87,2892161.48,20560.73,3046.01,0.0,7411.95
107,8,2931851.13,43092.45,29302.87,2931851.13,20844.74,3046.01,0.0,7411.95
108,9,2971826.84,45247.07,30768.01,2971826.84,21130.8,3122.16,0.0,7597.25
109,9,3013294.36,45247.07,30768.01,3013294.36,21418.92,3122.16,0.0,7597.25
110,9,3055060.75,45247.07,30768.01,3055060.75,21717.79,3122.16,0.0,7597.25
111,9,3097128.16,45247.07,30768.01,3097128.16,22018.81,3122.16,0.0,7597.25
112,9,3139498.77,45247.07,30768.01,3139498.77,22322.0,3122.16,0.0,7597.25
113,9,3182174.75,45247.07,30768.01,3182174.75,22627.38,3122.16,0.0,7597.25
114,9,3225158.32,45247.07,30768.01,3225158.32,22934.96,3122.16,0.0,7597.25
115,9,3268451.68,45247.07,30768.01,3268451.68,23244.76,3122.16,0.0,7597.25
116,9,3312057.07,45247.07,30768.01,3312057.07,23556.79,3122.16,0.0,7597.25
117,9,3355976.74,45247.07,30768.01,3355976.74,23871.07,3122.16,0.0,7597.25
118,9,3400212.95,45247.07,30768.01,3400212.95,24187.61,3122.16,0.0,7597.25
119,9,3444767.98,45247.07,30768.01,3444767.98,24506.43,3122.16,0.0,7597.25
120,10,2851715.31,47509.43,32306.41,2851715.31,24827.56,3200.21,0.0,7787.18
